Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.99,1.0,0.99
2,0.879,0.9988888888888889,0.9
3,0.74,0.9966666666666667,0.76
4,0.815,0.9388888888888889,0.8
5,0.844,0.9988888888888889,0.85
6,0.965,0.9988888888888889,0.98
7,0.824,0.9822222222222222,0.87
8,0.889,0.99,0.9
9,0.973,1.0,0.97
10,0.887,0.9933333333333333,0.86
11,0.937,1.0,0.92
12,0.985,1.0,0.97
13,0.986,1.0,1.0
14,0.879,1.0,0.85
15,0.5,0.6611111111111111,0.56
16,0.46,0.6677777777777778,0.45
17,0.545,0.7677777777777778,0.65
18,0.916,0.9544444444444444,0.9
19,0.124,0.31222222222222223,0.13
20,0.994,1.0,1.0
